職業類別,行業大類,中類,細類,細類名稱
保母／托育人員,Q 醫療保健及社會工作服務業,87 社會工作服務業,8710,托育及社會福利服務業
其他教育類老師,P 教育服務業,71 教育服務業,7110,補習教育
升學補習班老師,P 教育服務業,71 教育服務業,7110,補習教育
園長,P 教育服務業,71 教育服務業,7110,幼兒教育
安親課輔老師,P 教育服務業,71 教育服務業,7110,補習教育
幼教老師,P 教育服務業,71 教育服務業,7110,幼兒教育
才藝類老師,P 教育服務業,71 教育服務業,7110,補習教育
托育中心主任／主管,Q 醫療保健及社會工作服務業,87 社會工作服務業,8710,托育及社會福利服務業
教保員／保育員,Q 醫療保健及社會工作服務業,87 社會工作服務業,8710,托育及社會福利服務業
數理補習班老師,P 教育服務業,71 教育服務業,7110,補習教育
游泳教練,R 藝術、娛樂及休閒服務業,93 體育及休閒服務業,9310,運動及健身教練服務業
烹飪老師,P 教育服務業,71 教育服務業,7110,補習教育
珠心算老師,P 教育服務業,71 教育服務業,7110,補習教育
美術老師,P 教育服務業,71 教育服務業,7110,補習教育
舞蹈健身老師,R 藝術、娛樂及休閒服務業,93 體育及休閒服務業,9310,運動及健身教練服務業
補習班主任／主管,P 教育服務業,71 教育服務業,7110,補習教育
補習班導師,P 教育服務業,71 教育服務業,7110,補習教育
語文補習班老師,P 教育服務業,71 教育服務業,7110,補習教育
課業輔導老師,P 教育服務業,71 教育服務業,7110,補習教育
運動教練,R 藝術、娛樂及休閒服務業,93 體育及休閒服務業,9310,運動及健身教練服務業
電腦補習班老師,P 教育服務業,71 教育服務業,7110,補習教育
音樂老師,P 教育服務業,71 教育服務業,7110,補習教育
駕訓老師,P 教育服務業,71 教育服務業,7110,技能訓練
傳播媒體編輯企劃,J 資訊及通訊傳播業,58 出版業,5812,雜誌與其他期刊出版業
其他語言翻譯／口譯人員,M 專業科學及技術服務業,70 專業服務業,7021,翻譯及口譯服務業
剪輯師,J 資訊及通訊傳播業,59 節目製作及播送業,5912,影片及電視節目後製服務業
執行製作／助理,J 資訊及通訊傳播業,59 節目製作及播送業,5911,影片及電視節目製作業
媒體公關主管,M 專業科學及技術服務業,73 廣告與市場研究業,7310,公關服務業
媒體公關人員,M 專業科學及技術服務業,73 廣告與市場研究業,7310,公關服務業
字幕人員,J 資訊及通訊傳播業,59 節目製作及播送業,5912,影片及電視節目後製服務業
導演／導播,J 資訊及通訊傳播業,59 節目製作及播送業,5911,影片及電視節目製作業
影片製作技術人員,J 資訊及通訊傳播業,59 節目製作及播送業,5912,影片及電視節目後製服務業
技術文件／說明書編譯,M 專業科學及技術服務業,70 專業服務業,7021,翻譯及口譯服務業
排版人員,J 資訊及通訊傳播業,58 出版業,5811,圖書出版業
播報人員,J 資訊及通訊傳播業,60 廣播電視業,6010,廣播及電視節目播送業
攝影助理,J 資訊及通訊傳播業,59 節目製作及播送業,5911,影片及電視節目製作業
攝影師,J 資訊及通訊傳播業,59 節目製作及播送業,5911,影片及電視節目製作業
攝影記者,J 資訊及通訊傳播業,60 廣播電視業,6020,新聞節目播送業
教材編輯人員,J 資訊及通訊傳播業,58 出版業,5811,圖書出版業
文字記者,J 資訊及通訊傳播業,60 廣播電視業,6020,新聞節目播送業
新聞／傳播媒體主管,J 資訊及通訊傳播業,60 廣播電視業,6020,新聞節目播送業
日文翻譯／口譯人員,M 專業科學及技術服務業,70 專業服務業,7021,翻譯及口譯服務業
校對人員,J 資訊及通訊傳播業,58 出版業,5811,圖書出版業
棚內技術工程人員,J 資訊及通訊傳播業,59 節目製作及播送業,5912,影片及電視節目後製服務業
樂器演奏／合成音樂,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
模特兒,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
演員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
演藝經紀／宣傳人員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
燈光技術人員,J 資訊及通訊傳播業,59 節目製作及播送業,5912,影片及電視節目後製服務業
發行企劃／出版人員,J 資訊及通訊傳播業,58 出版業,5811,圖書出版業
編劇及詞曲創作,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
編採主管,J 資訊及通訊傳播業,58 出版業,5811,圖書出版業
編輯／文字類人員,J 資訊及通訊傳播業,58 出版業,5811,圖書出版業
聲樂及演唱家,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
舞台搭設工程人員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
舞蹈演藝人員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
英文翻譯／口譯人員,M 專業科學及技術服務業,70 專業服務業,7021,翻譯及口譯服務業
藝術指導／藝術總監,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
表演／主持／直播人員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
配音人員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
音響／音控技術人員,R 藝術、娛樂及休閒服務業,90 藝術創作及表演服務業,9000,藝術創作服務業
EMC／安規工程人員,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
ISO品保人員,C 製造業,33 電子產品批發業,3300,品質管理與驗證
事務部船員,H 運輸及倉儲業,50 水上運輸業,5010,遠洋及沿海水上運輸業
倉儲物流人員,H 運輸及倉儲業,52 倉儲業,5210,一般倉儲業
倉管／物料管理員,H 運輸及倉儲業,52 倉儲業,5210,一般倉儲業
公共衛生人員,Q 醫療保健及社會工作服務業,86 醫療保健服務業,8690,其他醫療服務業
原料檢驗人員,C 製造業,10 化學材料製造業,1080,其他基本化學材料製造業
可靠度工程師,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
品保工程師,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
品管人員,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
品管／品保主管,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
地勤人員,H 運輸及倉儲業,51 航空運輸業,5110,定期航空運輸業
外務／快遞／送貨,H 運輸及倉儲業,53 郵政及快遞業,5320,快遞服務業
大客車司機,H 運輸及倉儲業,49 陸上運輸業,4921,市區及長途客運業
大貨車司機,H 運輸及倉儲業,49 陸上運輸業,4922,一般貨運業
小客車／小貨車司機,H 運輸及倉儲業,49 陸上運輸業,4922,一般貨運業
工廠安全衛生人員,C 製造業,33 其他製造業,3390,製造業其他支援服務
採購主管,C 製造業,33 其他製造業,3390,製造業其他支援服務
採購人員,C 製造業,33 其他製造業,3390,製造業其他支援服務
採購助理,C 製造業,33 其他製造業,3390,製造業其他支援服務
故障分析工程師,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
材料分析員,C 製造業,10 化學材料製造業,1080,其他基本化學材料製造業
檢驗人員,C 製造業,10 化學材料製造業,1080,其他基本化學材料製造業
汽車檢驗員,G 批發及零售業,45 汽車服務業,4520,汽車維修及檢驗服務業
測試工程師,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
空服人員,H 運輸及倉儲業,51 航空運輸業,5110,定期航空運輸業
聯結車司機,H 運輸及倉儲業,49 陸上運輸業,4922,一般貨運業
船上作業人員,H 運輸及倉儲業,50 水上運輸業,5010,遠洋及沿海水上運輸業
艙面部船員,H 運輸及倉儲業,50 水上運輸業,5010,遠洋及沿海水上運輸業
資材主管,C 製造業,33 其他製造業,3390,製造業其他支援服務
資材人員,C 製造業,33 其他製造業,3390,製造業其他支援服務
輪機部船員,H 運輸及倉儲業,50 水上運輸業,5010,遠洋及沿海水上運輸業
運輸物流類主管,H 運輸及倉儲業,52 倉儲業,5210,一般倉儲業
運輸調度管理人員,H 運輸及倉儲業,52 倉儲業,5210,一般倉儲業
隨車人員,H 運輸及倉儲業,49 陸上運輸業,4922,一般貨運業
飛安人員,H 運輸及倉儲業,51 航空運輸業,5110,定期航空運輸業
飛行機師,H 運輸及倉儲業,51 航空運輸業,5110,定期航空運輸業
食品檢驗人員,C 製造業,10 食品製造業,1080,其他基本化學材料製造業
食品衛生管理師,Q 醫療保健及社會工作服務業,86 醫療保健服務業,8690,其他醫療服務業
CNC程式設計師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
CNC車床人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
CNC銑床人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
FAE工程師,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
PCB技術人員,C 製造業,26 電子零組件製造業,2611,印刷電路板製造業
傳統車床人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
傳統銑床人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
其他車輛維修人員,G 批發及零售業,45 汽車服務業,4520,汽車維修及檢驗服務業
冷凍空調技術人員／安裝員,F 營建工程業,43 建築設備安裝業,4322,冷凍空調及通風設備安裝業
印刷技術人員,C 製造業,18 印刷及其相關製品製造業,1811,印刷業
印前製作人員,C 製造業,18 印刷及其相關製品製造業,1812,印前製版業
噴漆技術人員,C 製造業,28 機械設備製造業,2819,其他機械設備製造業
堆高機操作人員,C 製造業,28 機械設備製造業,2819,其他機械設備製造業
塗裝技術人員,C 製造業,28 機械設備製造業,2819,其他機械設備製造業
學徒,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
技術支援主管,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
拋光／研磨技術人員,C 製造業,28 機械設備製造業,2819,其他機械設備製造業
放電加工技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機械加工技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機械操作人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機械設備組裝測試人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機車維修人員,G 批發及零售業,45 汽車服務業,4520,汽車維修及檢驗服務業
汽車引擎技術人員,G 批發及零售業,45 汽車服務業,4520,汽車維修及檢驗服務業
汽車維修人員,G 批發及零售業,45 汽車服務業,4520,汽車維修及檢驗服務業
沖床人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
焊接技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
環保／環境工程師／技師,M 專業科學及技術服務業,72 建築、工程及技術服務業,7210,環境保護及污染防治服務業
產品設備維修人員,S 其他服務業,95 機械與設備修配業,9510,家用機械設備修配業
精密儀器製造維修人員,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
組裝組立技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
維修技術主管,S 其他服務業,95 機械與設備修配業,9510,家用機械設備修配業
維修技術人員,S 其他服務業,95 機械與設備修配業,9510,家用機械設備修配業
線切割技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
製鞋類人員,C 製造業,15 成衣及服飾品製造業,1520,鞋類製造業
車縫人員,C 製造業,14 紡織業,1430,服飾製造業
通信維修人員,J 資訊及通訊傳播業,61 電信業,6110,有線電信業
鈑金技術人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
鉗工,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
雷射技術操作員,C 製造業,28 機械設備製造業,2819,其他機械設備製造業
電器產品維修人員,S 其他服務業,95 機械與設備修配業,9510,家用機械設備修配業
電子設備維修人員,S 其他服務業,95 機械與設備修配業,9510,家用機械設備修配業
電鍍相關技術人員,C 製造業,20 金屬表面處理及熱處理業,2010,金屬表面處理業
飛機修護員,H 運輸及倉儲業,51 航空運輸業,5110,定期航空運輸業
不動產經紀人／營業員,L 不動產業,68 不動產業,6810,不動產仲介及買賣業
保稅人員,H 運輸及倉儲業,52 倉儲業,5210,一般倉儲業
保險業務員／經紀人,K 金融及保險業,66 保險業,6620,保險經紀與代理業
信用卡類人員,K 金融及保險業,64 金融服務業,6410,金融服務業
傳直銷人員,G 批發及零售業,47 其他零售業,4791,非店面零售業
售票／收銀人員,I 住宿及餐飲業,56 餐飲業,5611,一般餐館
國內業務主管,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
國內業務人員,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
國外業務主管,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
國外業務人員,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
國貿人員,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
國貿助理,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
報關人員,H 運輸及倉儲業,52 倉儲業,5220,報關及通關服務業
大型賣場管理人員,G 批發及零售業,47 零售業,4719,綜合商品零售業
客戶成功經理,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
客服主管,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
客服人員,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
客服工程師,J 資訊及通訊傳播業,62 資訊服務業,6201,資訊系統整合服務業
專案業務主管,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
店長／門市管理人員,G 批發及零售業,47 零售業,4719,綜合商品零售業
廣告AE,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
業務助理,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
業務工程師,G 批發及零售業,46 各類商品批發業,4690,綜合商品批發業
樓面管理人員,G 批發及零售業,47 零售業,4719,綜合商品零售業
汽車銷售人員,G 批發及零售業,45 汽車服務業,4510,汽車零售業
船務,H 運輸及倉儲業,50 水上運輸業,5010,遠洋及沿海水上運輸業
融資／信用業務人員,K 金融及保險業,64 金融服務業,6410,金融服務業
補習班招生人員,P 教育服務業,85 補習教育業,8550,補習班
醫藥業務代表,G 批發及零售業,46 各類商品批發業,4649,醫藥品批發業
門市／店員／專櫃人員,G 批發及零售業,47 零售業,4719,綜合商品零售業
電訪人員,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
電話客服人員,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
電話行銷主管,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
電話行銷人員,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
駐點銷售人員,G 批發及零售業,47 零售業,4719,綜合商品零售業
CAD／CAM工程師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
PLC／自動控制工程師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
儀器操作分析員,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
其他特殊工程人員,M 專業科學及技術服務業,72 建築、工程及技術服務業,7290,其他工程服務業
包裝員／作業員,C 製造業,33 其他製造業,3390,製造業其他支援服務
塑膠射出技術人員,C 製造業,22 塑膠製品製造業,2221,塑膠射出成型業
塑膠押出技術人員,C 製造業,22 塑膠製品製造業,2222,塑膠押出成型業
塑膠模具技術人員,C 製造業,22 塑膠製品製造業,2229,其他塑膠製品製造業
壓鑄模具技術人員,C 製造業,19 基本金屬製造業,1920,金屬模具製造業
工廠高階主管,C 製造業,33 其他製造業,3390,製造業其他支援服務
工業工程師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
工程助理,M 專業科學及技術服務業,72 建築、工程及技術服務業,7210,工程服務業
廠務,C 製造業,33 其他製造業,3390,製造業其他支援服務
廠務助理,C 製造業,33 其他製造業,3390,製造業其他支援服務
微機電工程師,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
模具技術人員,C 製造業,19 基本金屬製造業,1920,金屬模具製造業
機械工程主管,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機械工程師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機械設計／繪圖人員,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機構工程師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
機電技師／工程師,C 製造業,28 機械設備製造業,2810,通用機械設備製造業
汽車研發人員,C 製造業,29 汽車及其零件製造業,2910,汽車及其零件製造業
沖壓模具技術人員,C 製造業,19 基本金屬製造業,1920,金屬模具製造業
熱傳工程師,M 專業科學及技術服務業,72 工程服務業,7210,工程服務業
環境分析研究員,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
生產技術／製程工程師,C 製造業,33 其他製造業,3390,製造業其他支援服務
生產線工程師,C 製造業,33 其他製造業,3390,製造業其他支援服務
生產設備工程師,C 製造業,33 其他製造業,3390,製造業其他支援服務
生管主管,C 製造業,33 其他製造業,3390,製造業其他支援服務
生管／助理,C 製造業,33 其他製造業,3390,製造業其他支援服務
粉末冶金模具技術人員,C 製造業,19 基本金屬製造業,1920,金屬模具製造業
紡織工務,C 製造業,13 紡織業,1311,紡紗業
聲學／噪音工程師,M 專業科學及技術服務業,72 工程服務業,7210,工程服務業
製程主管,C 製造業,33 其他製造業,3390,製造業其他支援服務
設備工程主管,C 製造業,33 其他製造業,3390,製造業其他支援服務
金屬模具技術人員,C 製造業,19 基本金屬製造業,1920,金屬模具製造業
鑄造／鍛造模具技術人員,C 製造業,19 基本金屬製造業,1910,鑄造及鍛造業
電機工程主管,C 製造業,27 電力設備製造業,2711,電力設備製造業
電機技師／工程師,C 製造業,27 電力設備製造業,2711,電力設備製造業
電機維修人員,S 其他服務業,95 機械與設備修配業,9510,家用機械設備修配業
電機設備裝配員,C 製造業,27 電力設備製造業,2711,電力設備製造業
領班／管理幹部,C 製造業,33 其他製造業,3390,製造業其他支援服務
代書／地政士,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
企管顧問,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
商標／專利人員,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
實習律師,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
專業顧問,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
工商登記服務類人員,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
律師,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
法務主管,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
法務人員,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
法務助理,M 專業科學及技術服務業,69 法律及會計服務業,6910,法律服務業
留學諮詢顧問,M 專業科學及技術服務業,73 其他專業服務業,7310,其他顧問服務業
估算人員,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
內業工程人員,F 營造業,41 土木工程業,4100,一般土木工程業
冷凍空調繪圖／設計,M 專業科學及技術服務業,72 工程服務業,7210,工程服務業
吊車／起重機相關操作人員,F 營造業,43 特殊工程業,4390,其他特殊工程業
土地開發人員,L 不動產業,68 不動產業,6810,不動產仲介及買賣業
土木技師,F 營造業,41 土木工程業,4100,一般土木工程業
室內設計師,M 專業科學及技術服務業,74 專門設計服務業,7410,室內設計業
工務助理,F 營造業,42 建築工程業,4210,建築工程業
工務工管人員,F 營造業,42 建築工程業,4210,建築工程業
工地主管／主任,F 營造業,42 建築工程業,4210,建築工程業
工地品管員／工程師,F 營造業,42 建築工程業,4210,建築工程業
工地安全衛生工程師,F 營造業,42 建築工程業,4210,建築工程業
工地監工,F 營造業,42 建築工程業,4210,建築工程業
建築師,M 專業科學及技術服務業,71 建築服務業,7110,建築設計服務業
建築繪圖／設計,M 專業科學及技術服務業,71 建築服務業,7110,建築設計服務業
挖土／推土機相關操作人員,F 營造業,43 特殊工程業,4390,其他特殊工程業
景觀設計人員,M 專業科學及技術服務業,74 專門設計服務業,7410,景觀設計業
模板工程人員,F 營造業,42 建築工程業,4210,建築工程業
水利工程師,F 營造業,41 土木工程業,4100,一般土木工程業
水土保持技師,F 營造業,41 土木工程業,4100,一般土木工程業
水電及其他工程繪圖人員,M 專業科學及技術服務業,72 工程服務業,7210,工程服務業
水電工,F 營造業,43 特殊工程業,4320,水電及空調工程業
水電工程師,F 營造業,43 特殊工程業,4320,水電及空調工程業
泥水工相關人員,F 營造業,42 建築工程業,4210,建築工程業
測量／儀校人員,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
營建主管,F 營造業,42 建築工程業,4210,建築工程業
營建工程人員,F 營造業,42 建築工程業,4210,建築工程業
營建雜工／粗工,F 營造業,42 建築工程業,4210,建築工程業
現場規劃工程師,F 營造業,42 建築工程業,4210,建築工程業
發包人員,F 營造業,42 建築工程業,4210,建築工程業
結構技師／工程師,M 專業科學及技術服務業,72 工程服務業,7210,工程服務業
都市／交通規劃人員,M 專業科學及技術服務業,71 建築服務業,7110,建築設計服務業
重機械操作人員,F 營造業,43 特殊工程業,4390,其他特殊工程業
金屬建材架構人員,C 製造業,25 建築用金屬製品製造業,2510,建築用金屬製品製造業
防水施工人員,F 營造業,42 建築工程業,4210,建築工程業
電信／配線繪圖,J 資訊及通訊傳播業,61 電信業,6110,有線電信業
加油服務,G 批發及零售業,47 零售業,4730,燃料零售業
動物飼育專業人員,A 農林漁牧業,01 畜牧業,141,飼養家畜業
宗教／神職人員,S 其他服務業,96 宗教、職業及其他組織,9601,宗教組織
家事服務／洗衣,S 其他服務業,97 家事服務業,9700,家事服務業
寵物禮儀師,S 其他服務業,96 宗教、職業及其他組織,9609,其他未分類之組織
志工／義工類人員,Q 醫療保健及社會工作服務業,88 社會工作服務業,8899,其他社會工作服務
搬運人員,H 運輸及倉儲業,52 倉儲業,5210,貨物裝卸業
星象占卜人員,S 其他服務業,96 宗教、職業及其他組織,9609,其他未分類之組織
汽車美容,S 其他服務業,95 汽車修理及美容業,9520,汽車修理及美容業
清潔／資源回收人員,N 支援服務業,81 建築物及景觀服務業,8121,一般清潔服務業
社會工作人員／督導,Q 醫療保健及社會工作服務業,88 社會工作服務業,8891,社會工作服務
禮儀師,S 其他服務業,96 宗教、職業及其他組織,9602,殯葬服務業
舉牌／傳單／派報員,N 支援服務業,78 行政及支援服務業,7830,顧客服務中心
花藝／園藝人員,A 農林漁牧業,01 作物栽培業,119,其他園藝作物栽培
農藝栽培專業人員,A 農林漁牧業,01 作物栽培業,110,農藝作物栽培
農藝／畜產研究人員,A 農林漁牧業,01 作物栽培業,190,農業技術研究與支援
養殖／畜牧專業人員,A 農林漁牧業,03 畜牧業,310,畜牧及養殖業
化學／化工工程師,C 製造業,20 化學材料製造業,2010,基礎化學製造業
奈米研發工程師,C 製造業,26 電子零組件製造業,2640,奈米科技研發製造業
實驗／化驗人員,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
微生物分析師,M 專業科學及技術服務業,71 技術服務業,7110,技術測試與支援服務
材料研發人員,C 製造業,24 非金屬礦物製品製造業,2410,材料科學與研發
特用化學工程師,C 製造業,20 化學材料製造業,2020,特用化學製造業
生技主管,C 製造業,21 製藥及生技製造業,2101,生物科技製造業
生物科技研發人員,C 製造業,21 製藥及生技製造業,2101,生物科技製造業
病理藥理研究人員,C 製造業,21 製藥及生技製造業,2101,生物科技製造業
紡織化學工程師,C 製造業,13 紡織業,1390,其他紡織業
醫療器材研發工程師,C 製造業,27 精密儀器製造業,2750,醫療儀器製造業
醫藥研發人員,C 製造業,21 製藥及生技製造業,2100,製藥業
食品研發人員,C 製造業,10 食品製造業,1090,其他食品製造業
