職業類別,大類碼,大類名稱,中類,小類,細類,細類名稱,產業別分類
音響∕音控技術人員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
EMC∕安規工程人員,C,製造業,26,264,2640,電子零組件製造業,電子零組件製造業
ISO品保人員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
事務部船員,H,運輸及倉儲業,50,501,5011,水上運輸業,水上運輸業
倉儲物流人員,H,運輸及倉儲業,52,521,5210,倉儲業,倉儲業
倉管∕物料管理員,H,運輸及倉儲業,52,521,5210,倉儲業,倉儲業
公共衛生人員,Q,人類保健及社會工作服務業,86,861,8610,醫療保健服務業,醫療保健服務業
原料檢驗人員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
可靠度工程師,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
品保工程師,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
品管人員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
品管∕品保主管,C,技術員及助理專業人員,31,31,314,工程技術助理人員,工程技術助理人員
地勤人員,H,運輸及倉儲業,52,522,5222,機場、航空地面服務業,機場、航空地面服務業
外務∕快遞∕送貨,H,運輸及倉儲業,49,492,4920,貨物運輸業,貨物運輸業
大客車司機,H,運輸及倉儲業,49,491,4911,市區及市郊汽車客運業,市區及市郊汽車客運業
大貨車司機,H,運輸及倉儲業,49,492,4920,貨物運輸業,貨物運輸業
小客車∕小貨車司機,H,運輸及倉儲業,49,492,4920,貨物運輸業,貨物運輸業
工廠安全衛生人員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
採購主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
採購人員,N,支援服務業,82,829,8290,其他未分類事務支援服務業,其他未分類事務支援服務業
採購助理,N,支援服務業,82,829,8290,其他未分類事務支援服務業,其他未分類事務支援服務業
故障分析工程師,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
材料分析員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
檢驗人員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
汽車檢驗員,M,專業、科學及技術服務業,71,712,7120,驗證檢測及技術服務業,驗證檢測及技術服務業
測試工程師,C,製造業,26,261,2610,電子材料與元件製造業,電子材料與元件製造業
空服人員,H,運輸及倉儲業,52,522,5222,機場、航空地面服務業,機場、航空地面服務業
聯結車司機,H,運輸及倉儲業,49,492,4920,貨物運輸業,貨物運輸業
船上作業人員,I,漁業及牧業生產相關工作人員,83,83,831,漁撈及狩獵工作人員,漁撈及狩獵工作人員
艙面部船員,I,漁業及牧業生產相關工作人員,83,83,831,漁撈及狩獵工作人員,漁撈及狩獵工作人員
資材主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
資材人員,N,支援服務業,82,829,8290,其他未分類支援服務業,其他未分類支援服務業
輪機部船員,H,運輸及倉儲業,50,501,5010,海洋運輸業,海洋運輸業
運輸物流類主管,H,運輸及倉儲業,52,522,5229,其他運輸輔助業,其他運輸輔助業
運輸調度管理人員,H,運輸及倉儲業,52,522,5224,運輸調度及管理服務業,運輸調度及管理服務業
隨車人員,H,運輸及倉儲業,49,492,4922,道路運輸輔助服務業,道路運輸輔助服務業
飛安人員,G,運輸工具操作人員,73,73,731,飛行器駕駛及地勤人員,飛行器駕駛及地勤人員
飛行機師,G,運輸工具操作人員,73,73,731,飛行器駕駛及地勤人員,飛行器駕駛及地勤人員
食品檢驗人員,M,專業、科學及技術服務業,71,712,7129,其他技術檢測及分析服務業,其他技術檢測及分析服務業
食品衛生管理師,M,專業、科學及技術服務業,71,712,7129,其他技術檢測及分析服務業,其他技術檢測及分析服務業
CNC程式設計師,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
CNC車床人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
CNC銑床人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
FAE工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
PCB技術人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
傳統車床人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
傳統銑床人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
其他車輛維修人員,S,其他服務業,95,951,9511,汽車修理業,汽車修理業
冷凍空調技術人員∕安裝員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
印刷技術人員,C,製造業,16,160,1601,印刷業,印刷業
印前製作人員,C,製造業,16,160,1602,印刷輔助業,印刷輔助業
噴漆技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
堆高機操作人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
塗裝技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
學徒,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
技術人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
技術支援主管,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
拋光∕研磨技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
放電加工技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
機械加工技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
機械操作人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
機械設備組裝測試人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
機車維修人員,S,其他服務業,95,959,9591,機車及其他小型車輛修理業,機車及其他小型車輛修理業
汽車引擎技術人員,S,其他服務業,95,951,9511,汽車修理業,汽車修理業
汽車維修人員,S,其他服務業,95,951,9511,汽車修理業,汽車修理業
沖床人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
焊接技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
環保∕環境工程師∕技師,M,專業、科學及技術服務業,71,712,7129,其他技術檢測及分析服務業,其他技術檢測及分析服務業
產品設備維修人員,C,製造業,34,340,3400,工業機械設備修配安裝業,工業機械設備修配安裝業
精密儀器製造維修人員,C,製造業,34,340,3400,工業機械設備修配安裝業,工業機械設備修配安裝業
組裝組立技術人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
維修技術主管,C,製造業,34,340,3400,工業機械設備修配安裝業,工業機械設備修配安裝業
維修技術人員,C,製造業,34,340,3400,工業機械設備修配安裝業,工業機械設備修配安裝業
線切割技術人員,C,製造業,29,293,2939,其他通用機械設備製造業,其他通用機械設備製造業
製鞋類人員,C,製造業,14,142,1420,鞋類製造業,鞋類製造業
車縫人員,C,製造業,14,141,1410,服飾製造業,服飾製造業
通信維修人員,S,其他服務業,95,952,9522,通信設備修理業,通信設備修理業
鈑金技術人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
鉗工,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
雷射技術操作員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
電器產品維修人員,S,其他服務業,95,952,9523,影音及家用電子產品修理業,影音及家用電子產品修理業
電子設備維修人員,S,其他服務業,95,951,9511,電子設備維修服務業,電子設備維修服務業
電鍍相關技術人員,C,製造業,25,259,2599,其他未分類金屬製品製造業,其他未分類金屬製品製造業
飛機修護員,H,運輸及倉儲業,52,522,5223,航空器維修服務業,航空器維修服務業
不動產經紀人∕營業員,L,不動產業,68,681,6811,不動產經營與仲介業,不動產經營與仲介業
保稅人員,H,運輸及倉儲業,52,522,5221,報關及保稅倉儲業,報關及保稅倉儲業
保險業務員∕經紀人,K,金融及保險業,65,655,6551,保險代理人及經紀人,保險代理人及經紀人
信用卡類人員,K,金融及保險業,66,669,6699,其他金融輔助業,其他金融輔助業
傳直銷人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
售票∕收銀人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
國內業務主管,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
國內業務人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
國外業務主管,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
國外業務人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
國貿人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
國貿助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
報關人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
大型賣場管理人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
客戶成功經理,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
客服主管,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
客服人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
客服工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
專案業務主管,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
店長∕門市管理人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
廣告AE,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
業務助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
業務工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
樓面管理人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
汽車銷售人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
船務,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
融資∕信用業務人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
補習班招生人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
醫藥業務代表,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
門市∕店員∕專櫃人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
電訪人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
電話客服人員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
電話行銷主管,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
電話行銷人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
駐點銷售人員,G,批發及零售業,47,479,4799,其他綜合商品零售業,其他綜合商品零售業
CAD∕CAM工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
PLC∕自動控制工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
儀器操作分析員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
其他特殊工程人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
包裝員∕作業員,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
塑膠射出技術人員,C,製造業,22,220,2209,其他塑膠製品製造業,其他塑膠製品製造業
塑膠押出技術人員,C,製造業,22,220,2209,其他塑膠製品製造業,其他塑膠製品製造業
塑膠模具技術人員,C,製造業,25,251,2512,金屬模具製造業,金屬模具製造業
壓鑄模具技術人員,C,製造業,25,251,2512,金屬模具製造業,金屬模具製造業
工廠高階主管,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
工業工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
工程助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
廠務,C,製造業,33,331,3312,工廠設施維護及操作,工廠設施維護及操作
廠務助理,C,製造業,33,331,3312,工廠設施維護及操作,工廠設施維護及操作
微機電工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
模具技術人員,C,製造業,25,259,2593,模具製造業,模具製造業
機械工程主管,C,製造業,28,281,2810,一般機械設備製造業,一般機械設備製造業
機械工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
機械設計∕繪圖人員,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
機構工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
機電技師∕工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
汽車研發人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
沖壓模具技術人員,C,製造業,25,251,2512,金屬模具製造業,金屬模具製造業
熱傳工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
環境分析研究員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究服務業,自然科學及工程研究服務業
生產技術∕製程工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
生產線工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
生產設備工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
生管主管,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
生管∕助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
粉末冶金模具技術人員,C,製造業,25,251,2512,金屬模具製造業,金屬模具製造業
紡織工務,C,製造業,14,141,1410,服飾製造業,服飾製造業
聲學∕噪音工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
製程主管,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
設備工程主管,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
金屬模具技術人員,C,製造業,25,251,2512,金屬模具製造業,金屬模具製造業
鑄造∕鍛造模具技術人員,C,製造業,25,251,2512,金屬模具製造業,金屬模具製造業
電機工程主管,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
電機技師∕工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
電機維修人員,C,製造業,34,340,3400,工業機械設備修配安裝業,工業機械設備修配安裝業
電機設備裝配員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
領班∕管理幹部,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
代書∕地政士,M,專業、科學及技術服務業,69,691,6912,地政事務所,地政事務所
企管顧問,M,專業、科學及技術服務業,70,702,7020,管理顧問業,管理顧問業
商標∕專利人員,M,專業、科學及技術服務業,69,691,6919,其他法律服務業,其他法律服務業
實習律師,M,專業、科學及技術服務業,69,691,6911,律師事務所,律師事務所
專業顧問,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
工商登記服務類人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
律師,M,專業、科學及技術服務業,69,691,6911,律師事務所,律師事務所
法務主管,M,專業、科學及技術服務業,69,691,6911,律師事務所,律師事務所
法務人員,M,專業、科學及技術服務業,69,691,6911,律師事務所,律師事務所
法務助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
留學諮詢顧問,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
估算人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
內業工程人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
冷凍空調繪圖∕設計,M,專業、科學及技術服務業,74,740,7409,其他專門設計服務業,其他專門設計服務業
吊車∕起重機相關操作人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
土地開發人員,S,其他服務業,96,969,9690,其他個人服務業,其他個人服務業
土木技師,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
室內設計師,M,專業、科學及技術服務業,74,740,7401,室內設計業,室內設計業
工務助理,N,行政及支援服務業,82,820,8209,其他行政支援服務業,其他行政支援服務業
工務工管人員,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
工地主管∕主任,F,營建工程業,43,439,4390,其他專門營造業,其他專門營造業
工地品管員∕工程師,M,專業、科學及技術服務業,71,711,7112,工程服務及相關技術顧問業,工程服務及相關技術顧問業
